Receive Date,AMIC ID,Origin Protein,Leco Protein,WGA Protein
2/17/2017,10341,14.1,13.99,14.2
2/17/2017,10343,12.8,12.27,12.74
2/17/2017,10344,12.8,12.49,12.7
2/17/2017,10345,12.8,12.54,12.86
2/17/2017,10346,14.2,13.88,14.32
2/17/2017,10347,14.2,13.91,14.04
2/17/2017,10350,14.08,13.7,14.08
2/17/2017,10352,15.2,14.87,15.12
2/17/2017,10354,14,13.82,14.12
2/17/2017,10356,14.02,13.73,14.02
2/21/2017,10360,14,13.81,14.07
2/21/2017,10361,15.23,14.78,15.1
2/21/2017,10363,15,14.73,14.94
2/21/2017,10368,15.04,14.89,15
2/22/2017,10374,15.2,15,15.16
2/22/2017,10375,14.3,13.9,14.3
2/22/2017,10377,14,13.79,13.99
2/22/2017,10379,11.75,11.61,11.62
2/22/2017,10380,14.08,13.94,14.01
2/22/2017,10382,13.2,13.1,13.09
2/23/2017,10383,15.34,15.16,15.24
2/23/2017,10384,12,12.06,11.86
2/23/2017,10385,15.4,15.13,15.12
2/23/2017,10387,10.55,10.29,10.31
2/24/2017,10398,14.15,14.22,14.04
2/24/2017,10401,14.33,14.22,14.11
2/24/2017,10404,13.22,13.23,13.2
2/27/2017,10405,13.17,13.23,13.13
2/27/2017,10406,12,11.95,11.85
2/27/2017,10407,11.9,12.17,12.09
2/27/2017,10408,14.2,14.1,14.15
2/27/2017,10409,14.7,14.49,14.7
2/28/2017,10412,11.6,11.61,11.51
2/28/2017,10413,14.23,14.21,14.29
2/28/2017,10415,14,14.19,13.95
2/28/2017,10416,12.4,12.44,12.46
2/28/2017,10419,11.55,11.39,11.29
3/1/2017,10421,14.13,14.37,14.01
3/1/2017,10422,11.6,11.9,11.91
3/1/2017,10423,11.6,11.57,11.45
3/2/2017,10428,12.3,12.04,12.08
3/2/2017,10429,14,14.35,14.07
3/2/2017,10430,14.77,14.86,14.73
3/2/2017,10431,14.02,13.93,13.86
3/2/2017,10432,14.05,13.97,13.86
3/2/2017,10433,14.04,14.25,14.16
3/2/2017,10435,14.18,14.36,14.27
3/2/2017,10437,15.2,15.5,15.25
3/2/2017,10438,14,14.03,13.94
3/2/2017,10439,12.5,12.08,12.11
3/3/2017,10440,11.5,11.49,11.51
3/3/2017,10441,15.11,15.2,15.04
3/3/2017,10442,14,14.03,13.84
3/3/2017,10443,14.22,14.08,14.11
3/3/2017,10444,14.3,14.34,14.43
3/3/2017,10445,14.5,14.45,14.6
3/3/2017,10446,14.3,14.07,14.08
3/3/2017,10447,12.21,12.27,11.98
3/3/2017,10448,15.04,15.17,14.91
3/3/2017,10449,12.29,12.45,12.5
3/3/2017,10450,15,14.91,14.95
3/3/2017,10451,12.9,12.57,12.88
3/4/2017,10456,14.5,14.59,14.38
3/4/2017,10457,14.3,14.17,14.22
3/4/2017,10458,14.1,14.03,14.12
3/4/2017,10459,16,15.96,15.7
3/4/2017,10460,14.1,14.44,14.16
3/4/2017,10461,14.5,14.67,14.53
3/4/2017,10464,10.9,10.69,10.56
3/4/2017,10465,12.1,11.79,11.88
3/7/2017,10466,12.1,11.97,12.05
3/7/2017,10469,12.1,12.21,11.92
3/7/2017,10470,15,14.93,14.84
3/7/2017,10471,11.5,11.8,11.51
3/7/2017,10472,15.2,15.27,14.95
3/8/2017,10475,15.32,15.28,15.27
3/8/2017,10476,13.9,14.04,13.7
3/9/2017,10480,14.01,14.18,13.99
3/9/2017,10485,14.01,13.96,14.06
3/9/2017,10487,10.8,10.93,10.92
3/9/2017,10488,14.1,14.18,14.09
3/9/2017,10489,14,14.26,14.22
3/9/2017,10490,11.97,12.33,12.35
3/10/2017,10495,14.2,14.19,14.12
3/10/2017,10497,11.1,10.76,10.99
3/10/2017,10498,12,11.93,12.25
3/10/2017,10502,15.13,15.1,15.04
3/10/2017,10503,14.18,14.29,14.2
3/14/2017,10504,11.55,11.86,11.7
3/15/2017,10508,13.6,13.52,13.5
3/15/2017,10511,14.07,14.01,13.76
3/15/2017,10512,13.57,13.66,13.62
3/15/2017,10514,14,14.06,13.78
3/15/2017,10515,12.8,12.82,12.59
3/15/2017,10516,14.9,15.19,14.87
3/17/2017,10518,12.3,12.34,11.99
3/17/2017,10519,13.3,13.5,13.53
3/17/2017,10521,13.13,13.13,13.29
3/17/2017,10522,13,13.05,12.93
3/17/2017,10523,14.58,14.44,14.45
3/17/2017,10524,14.58,14.43,14.49
3/17/2017,10526,11.6,11.2,11.09
3/17/2017,10527,11.2,11.44,11.13
3/17/2017,10529,15.09,15.28,14.97
3/17/2017,10530,12.1,12.03,11.99
3/17/2017,10531,12.2,11.78,11.72
3/17/2017,10532,12.1,12.1,11.91
3/17/2017,10533,11.9,11.92,11.89
3/17/2017,10535,14.77,14.71,14.57
3/17/2017,10537,14.5,14.72,14.47
3/17/2017,10538,14.24,14.24,14.29
3/17/2017,10539,15,15.01,14.88
3/20/2017,10543,11.7,11.82,11.93
3/20/2017,10544,14.4,14.6,14.43
3/20/2017,10545,14.6,14.53,14.26
3/20/2017,10546,11.9,11.85,11.97
3/20/2017,10549,13.7,13.8,13.49
3/20/2017,10550,11.55,11.74,11.53
3/20/2017,10555,13.57,13.67,13.7
3/21/2017,10557,15.03,15.37,15.04
3/21/2017,10559,14.1,14.05,13.98
3/21/2017,10560,14.67,14.71,14.69
3/21/2017,10561,14,14.33,14.73
3/21/2017,10563,11.9,11.81,11.93
3/21/2017,10564,14.49,14.35,14.51
3/21/2017,10565,15,14.78,14.92
3/21/2017,10566,12.8,12.71,12.66
3/21/2017,10567,14.03,14,13.77
3/22/2017,10570,15,15.08,14.98
3/22/2017,10571,11.6,11.57,11.52
3/22/2017,10573,14.3,14.12,14.26
3/22/2017,10574,15,15.03,14.89
3/24/2017,10583,14.4,14.49,14.36
3/24/2017,10585,14.71,14.85,14.68
3/24/2017,10587,11.5,11.62,11.45
3/24/2017,10588,11.5,11.56,11.67
4/3/2017,10635,12,11.91,11.95
4/3/2017,10636,12,11.95,12.19
4/3/2017,10637,13.09,13.15,13.18
4/3/2017,10638,12.01,11.87,12.07
4/3/2017,10639,12,12.2,12.17
4/3/2017,10640,13.6,13.89,13.5
4/3/2017,10643,14.4,14.36,14.28
4/3/2017,10644,14.5,14.26,13.96
4/3/2017,10645,14.6,14.73,14.89
4/3/2017,10646,14.7,14.79,14.71
4/3/2017,10647,14.3,14.31,14.41
4/3/2017,10648,14.2,14.54,14.36
4/3/2017,10649,14.7,14.91,14.98
4/3/2017,10650,13.1,12.86,12.91
4/3/2017,10651,10.9,10.36,10.64
4/3/2017,10652,14.1,14.03,13.86
4/4/2017,10658,15.1,15.23,15.19
4/4/2017,10661,14.97,15.12,14.98
4/4/2017,10662,10,10.11,9.86
4/4/2017,10663,13.5,13.66,13.65
4/4/2017,10665,12.7,12.76,12.91
4/5/2017,10667,11.79,11.77,11.49
4/5/2017,10668,13.99,13.92,14.02
4/5/2017,10669,14.25,14.23,14.24
4/6/2017,10673,13.68,13.46,13.82
4/6/2017,10674,14,14.2,14.29
4/6/2017,10675,13.8,13.98,14.11
4/6/2017,10678,11.7,11.49,11.81
4/6/2017,10679,10.7,10.71,10.67
4/6/2017,10680,14.2,14.11,14.09
4/6/2017,10681,12.2,12.05,12.18
4/6/2017,10682,12.7,12.49,12.35
4/6/2017,10683,13.2,13.12,13.23
4/6/2017,10684,9.8,9.85,9.63
4/7/2017,10686,15.02,15.09,15.05
4/7/2017,10687,15.04,14.93,15.09
4/7/2017,10688,14.06,13.95,14.06
4/7/2017,10689,14,14.06,14.13
4/7/2017,10690,14.05,14.36,14.14
4/7/2017,10691,13.8,14.15,14.05
4/7/2017,10692,12.9,12.72,12.88
4/10/2017,10694,14.23,14.24,14.29
4/10/2017,10695,14,13.91,14.01
4/10/2017,10696,12,11.85,11.96
4/10/2017,10697,12,11.94,11.86
4/10/2017,10699,12.6,12.56,12.8
4/10/2017,10700,14.1,14.12,14.03
4/11/2017,10701,14.18,13.98,14.18
4/11/2017,10702,14.18,13.8,14.09
4/11/2017,10703,12.2,12.2,12.5
4/11/2017,10705,14.02,14.09,13.99
4/11/2017,10706,14.18,13.89,14.06
4/11/2017,10709,14.18,14.06,14.3
4/11/2017,10710,12.6,12.62,12.8
4/12/2017,10714,13.25,13.35,13.31
4/12/2017,10715,15,14.6,14.61
4/13/2017,10719,14,13.7,13.66
4/13/2017,10720,14.4,14.47,14.29
4/13/2017,10721,12,11.71,11.94
4/13/2017,10722,14.1,14.43,14.2
4/14/2017,10724,14,13.92,13.87
4/14/2017,10726,14,14.08,14.06
4/17/2017,10727,14.2,14.03,14.09
4/17/2017,10728,12,12.05,12.12
4/17/2017,10729,15.7,15.63,15.54
4/18/2017,10730,12.5,12.62,12.7
4/18/2017,10731,14,14.35,14.14
4/18/2017,10732,14.04,14.1,14
4/18/2017,10733,15.22,15.34,15.24
4/18/2017,10734,13,13.09,12.99
4/19/2017,10740,16.5,16.47,16.61
4/20/2017,10743,15.3,15.42,15.38
4/20/2017,10747,13.7,13.87,14.02
4/21/2017,10748,14.02,13.95,14.06
4/21/2017,10749,14.05,14.15,14.09
4/21/2017,10755,12.47,12.6,12.75
4/24/2017,10759,13.24,13.21,13.26
4/24/2017,10760,14.02,14.02,14.14
4/24/2017,10761,14.2,14.08,14.24
4/24/2017,10762,13.2,13.14,13.24
4/25/2017,10769,12,11.66,11.87
4/25/2017,10770,14.04,14.21,14.04
4/26/2017,10773,14.01,14.17,14.11
4/26/2017,10774,10.55,10.59,10.8
4/26/2017,10776,14.2,14.12,14.21
4/26/2017,10777,12.8,12.75,12.79
4/27/2017,10778,9.95,9.95,9.78
4/27/2017,10779,14.48,14.54,14.54
4/27/2017,10780,11,10.9,10.84
4/27/2017,10781,12.2,12.09,12.13
4/27/2017,10782,13.9,13.72,13.6
4/27/2017,10784,15,15.08,15.19
4/27/2017,10785,15,14.91,14.99
4/27/2017,10786,15.4,15.4,15.45
4/27/2017,10787,14.2,14.28,14.19
4/28/2017,10789,14.24,14.36,14.32
5/1/2017,10792,12.01,12.35,12.21
5/1/2017,10793,13.49,13.7,13.4
5/1/2017,10798,11.98,12.02,11.99
5/1/2017,10800,12.81,12.85,12.67
5/1/2017,10804,13.39,13.52,13.37
5/1/2017,10805,11.2,11.41,11.43
5/1/2017,10806,12.1,12.19,12.24
5/2/2017,10808,14.75,14.87,14.73
5/2/2017,10809,14.02,14,14
5/3/2017,10810,15,15.06,15.07
5/3/2017,10811,14.02,14.41,14.62
5/3/2017,10812,15.33,15.36,15.5
5/3/2017,10813,13.84,14.19,14.27
5/3/2017,10814,13.84,13.91,13.6
5/3/2017,10816,15.1,15.2,15.13
5/3/2017,10817,12.1,11.78,11.81
5/3/2017,10818,14,14.1,13.97
5/3/2017,10819,10.7,10.96,10.85
5/3/2017,10820,13.4,13.49,13.41
5/3/2017,10821,14.1,13.93,13.75
5/3/2017,10822,14,14.33,14.01
5/3/2017,10823,14.4,14.38,14.07
5/3/2017,10824,13.9,13.92,14.03
5/3/2017,10825,14.2,14.31,14.24
5/3/2017,10826,13.8,13.32,13.66
5/3/2017,10827,14.2,14.13,14
5/3/2017,10828,13.5,13.92,13.75
5/3/2017,10829,14.2,14.41,14.33
5/3/2017,10830,11.5,11.62,11.7
5/3/2017,10831,11,11.07,10.84
5/4/2017,10833,12,12.08,12.08
5/5/2017,10840,12.03,11.87,11.81
5/5/2017,10844,12.9,13.18,13.15
